,location,city,latitude,longitude
219,New Karachi,Karachi,24.989559,67.067714
221,Shaheed Millat Road,Karachi,24.876976000000003,67.069237
222,Malir,Karachi,24.89321,67.19547299999999
224,Gulshan-e-Iqbal Town,Karachi,24.939604,67.09591
227,North Karachi,Karachi,24.969758,67.072692
228,North Nazimabad,Karachi,24.929369,67.045226
229,DHA Defence,Karachi,24.782215,67.074537
231,Gadap Town,Karachi,25.037472,67.07222
232,Navy Housing Scheme Karsaz,Karachi,24.895177,67.104263
233,Gulshan-e-Iqbal Town,Karachi,24.895196,67.08410699999999
234,Cantt,Karachi,24.899769,67.120412
235,Bahria Town Karachi,Karachi,24.894076,67.027715
236,North Karachi,Karachi,24.97466,67.05466700000001
238,DHA Defence,Karachi,24.810265,67.043552
240,Gulistan-e-Jauhar,Karachi,24.913179,67.12195899999999
241,Gulistan-e-Jauhar,Karachi,24.907822,67.129209
242,P & T Colony,Karachi,24.826386,67.045677
244,Baldia Town,Karachi,24.906445,66.96926500000001
245,Scheme 33,Karachi,24.954818,67.11663
246,G-15,Islamabad,33.631485999999995,72.926559
247,F-10,Islamabad,33.691531,73.005431
248,Bani Gala,Islamabad,33.707572937012,73.15119934082
249,DHA Defence,Islamabad,33.492591,73.301339
250,Ghauri Town,Islamabad,33.623946999999994,73.126588
251,Korang Town,Islamabad,33.579034,73.13959100000001
252,Bahria Town,Islamabad,33.493611470492,73.128966093282
253,DHA Defence,Islamabad,33.508481,73.091826
254,DHA Defence,Islamabad,33.541728000000006,73.094103
255,B-17,Islamabad,33.694495,72.82665300000001
256,G-11,Islamabad,33.671640000000004,72.99165500000001
257,Bhara kahu,Islamabad,33.737402,73.179159
258,Garden Town,Islamabad,33.636132,73.11392099999999
259,Koral Town,Islamabad,33.602038,73.141966
260,Soan Garden,Islamabad,33.569648,73.151522
261,F-6,Islamabad,33.72402,73.074524
262,F-7,Islamabad,33.716274,73.05624
263,I-16,Islamabad,33.594496,72.92659499999999
264,E-7,Islamabad,33.727409,73.04758100000001
