location,city,latitude,longitude
Sabzazar Scheme,Lahore,31.528143627407,74.26180064678199
Model Colony,Lahore,31.499216,74.349013
Mustafa Town,Lahore,31.494993,74.27294
Walton Road,Lahore,31.477098,74.357271
New Super Town,Lahore,31.495945000000003,74.37718000000001
West Wood Housing Society,Lahore,31.465788,74.237881
Valencia Housing Society,Lahore,31.398118,74.254746
Palm Villas,Lahore,31.587028000000004,74.495264
Islampura,Lahore,31.567228382586,74.28805947303799
Mansoorah,Lahore,31.492615,74.265647
Marghzar Officers Colony,Lahore,31.501973596972,74.247343540192
Wapda Town,Lahore,31.434522,74.266148
Johar Town,Lahore,31.46928106709,74.298274666071
Mughalpura,Lahore,31.563398,74.3891
Saggian,Lahore,31.596965,74.238197
Shoukat Town,Lahore,31.458687,74.35933
Al Hamra Town,Lahore,31.448106,74.25705699999999
Faisal Town,Lahore,31.478013,74.304285
Badami Bagh,Lahore,31.603832,74.32248100000001
Gulistan Colony,Lahore,31.454073,74.35645600000001
Lahore Motorway City,Lahore,31.644237,74.211656
OPF Housing Scheme,Lahore,31.423428136990005,74.24503248184901
Ferozepur Road,Lahore,31.502166,74.333439
Township,Lahore,31.439026,74.295001
Babu Sabu,Lahore,31.541236,74.269202
Al Kareem Garden,Lahore,31.589742,74.451851
Nawab Town,Lahore,31.452609,74.249039
Punjab Small Industries Colony,Lahore,31.476512,74.418805
Shalimar Link Road,Lahore,31.572526,74.381002
Airport Road,Lahore,31.458956061694003,74.362351298332
Ichhra,Lahore,31.533262,74.316587
Kamahan Road,Lahore,31.454618,74.368249
Mehmood Booti,Lahore,31.605143156574,74.3901014328
Kot Lakhpat,Lahore,31.458035,74.33581
Pakki Thatti,Lahore,31.532565169823,74.289628565311
Chungi Amar Sadhu,Lahore,31.450925,74.354287
Canal View,Lahore,31.478159,74.254017
Al-Hafiz Town,Lahore,31.508595,74.249121
Gulshan-e-Lahore,Lahore,31.424488,74.25245799999999
Qadri Colony,Lahore,31.484820000000003,74.367471
Tariq Gardens,Lahore,31.420094,74.254174
Hameedpura,Lahore,31.579632,74.403275
Empress Road,Lahore,31.56976,74.335463
Khayaban-e-Jinnah Road,Lahore,31.436474895687,74.26094055154
Ahmad Housing Society,Lahore,31.491380025790004,74.250894784927
Jallo Park Road,Lahore,31.579015,74.48308
Green Cap Housing Society,Lahore,31.398679377595,74.354968070766
Bismillah Housing Scheme,Lahore,31.598386,74.48082099999999
Fateh Garh,Lahore,31.566314252841,74.408243894577
GT Road,Lahore,31.597241138821,74.474582970142
Jubilee Town,Lahore,31.409802000000003,74.193678
Sant Nagar,Lahore,31.569505,74.295473
Al Rehman Garden,Lahore,31.598824,74.228218
Harbanspura,Lahore,31.57662254607,74.418978430331
Lalazar,Lahore,31.466167,74.244961
Ashraf Garden,Lahore,31.588834,74.471097
Al-Kabir Town,Lahore,31.364343,74.213113
Nishat Colony,Lahore,31.496092,74.39323399999999
